,id,Loai_meo,Chi_tiet,Gioi_tinh,Tuoi,vacxin
0,00c888ec0534469bbc10a09d6e155264,Munchkin,"mèo Munchkin (chân ngắn), Scottish Fold (tai cụp)",đực,2 tháng,chưa
1,04978864907747458f218ee11286f331,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,đã tiêm 2 mũi
2,0a0e0bf67fdc4ee3a4c7a716d892dd74,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair), Munchkin (chân ngắn)",đực,02 tháng,đã tiêm 2 mũi
3,0a396befee054384a24bfcff8ce30811,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair), Munchkin (chân ngắn)",đực,02 tháng,chưa
4,0c5cfd3ae64c4438a8607539c4ea5648,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,chưa
5,0ca568c23dc942cea8c4d4bbbc5dcc47,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,chưa
6,0fb5c0bced05414e89bba3a71f816f59,Anh lông ngắn,mèo British Shorthair (ALN),đực ,2 tháng,đã tiêm 2 mũi
7,18c00d7bada9450892d40640f521ae3b,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,đã tiêm 2 mũi
8,1d28760ae75148768b55d7672f4077cf,Scottish,"mèo British Shorthair (ALN), Scottish (tai cụp)",đực,2 tháng,chưa
9,1f209370b51d449eafd23a2fe8d68b22,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,chưa
10,29bb0496208c45beaad2750b7e9251dd,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,đã tiêm 2 mũi
11,2ac5a80d7ee74d1aa152042ef078c6b0,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,chưa
12,2bbbeabb66af40fb8cece30eb8b77657,Toyger,"mèo Toyger, Màu sắc: Brown Backerel Tabby",đực,04 tháng,chưa
13,2e443518f1fe435a8e73891f6a8771a1,Scottish,mèo Scottish Fold tai cụp,cái,2 tháng,chưa
14,2f36788c381042858a474bb9ab29cfbd,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),06 đực,02 tháng,đã tiêm 2 mũi
15,39188d85937c44d6903404e026ad9362,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,đã tiêm 2 mũi
16,4371f855d0b341a09ae4c593298ccfe6,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",cái,2 tháng,đã tiêm 2 mũi
17,43ad8ac74b534c89876204054aa90397,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Scottish Fold (tai cụp)",đực,2 tháng,chưa
18,461f5121cdcb44be9c7dac1a22234b2d,Scottish,mèo Scottish Fold,cái,12 tháng,đã tiêm 2 mũi
19,4a4e906d5e9048e6bf53de96b76028a9,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,đã tiêm 2 mũi
20,4d3ec27e458d436c8422768d6e1324d2,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,4 tháng,chưa
21,50051ebfb2604d70b411749e7adb81f4,Anh lông ngắn,mèo Anh Lông Ngắn,đực,12 tháng,chưa
22,517fbca7ab844b3cbb5ff74115e9b3fc,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,đã tiêm 2 mũi
23,57ec677f17af4533aa5ecf7d3067e537,Munchkin,"mèo Munchkin (chân ngắn), Scottish Fold (tai cụp)",cái,2 tháng,đã tiêm 2 mũi
24,59278e2ca59f487c9a3306069930f4ef,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,đã tiêm 2 mũi
25,5f0902f31ba2458ebc46643ebfdbdcd7,Scottish,mèo Scottish Fold,đực,3 tháng,đã tiêm 2 mũi
26,5f3ab27b95c44e71aa920e067dfdde83,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,đã tiêm 2 mũi
27,6450afdb7ef04986b77abf3d6e5783e1,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,chưa
28,68cde6789eb046dbbed44fa3126e35fc,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,đã tiêm 2 mũi
29,6b5d520d1ebd4887a2200cfd18e44034,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,đã tiêm 2 mũi
30,6bb8e23875fe488b98bb254d6ce1cddc,Munchkin,mèo Munchkin,đực,2 tháng,đã tiêm 2 mũi
31,70d0d6d5c29b4ccab17755bde848a33d,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",cái,2 tháng,đã tiêm 2 mũi
32,764842ba3f9e4ccbb275a5c6ff5a8f36,Munchkin,mèo Munchkin,đực,2 tháng,chưa
33,77ca60f712c34f08af7feab9a82f7a2b,Munchkin,mèo Munchkin (chân ngắn),cái,2 tháng,đã tiêm 2 mũi
34,793a2e23ced146afb26ee031a2f5577e,Munchkin,mèo Munchkin (chân ngắn),01 cái 01 đực,2 tháng,đã tiêm 2 mũi
35,835b967612444fae8630b33ee44571da,Scottish,mèo Scottish (tai cụp) lông ngắn,cái,2 tháng,chưa
36,836d8a1b403747179656e090667d9e54,Munchkin,mèo Munchkin (chân ngắn),cái,2 tháng,chưa
37,851eef60d3c146bcac38f66091b3f409,Munchkin,mèo Munchkin (chân ngắn),đực,2 tháng,chưa
38,87a44f3574db4f918d27a67cc1dd9237,Munchkin,mèo Munchkin,đực,2 tháng,chưa
39,8997beb1e3fb492b9fdf308b73762136,Munchkin,mèo Munchkin,đực,4 tháng,đã tiêm 2 mũi
40,8bf88bb8674945b3818b3b142eb1ea3e,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,10 tháng,chưa
41,8f2cd4251158448a8e3ea1b80e911efd,Munchkin,"mèo Munchkin (chân ngắn), Scottish Fold (tai cụp)",đực,2 tháng,đã tiêm 2 mũi
42,952f6bfef6be43eea67d1f7e00321dcc,Scottish,"mèo Scottish lông dài, ngắn",đực Tuổi: 2 tháng,2 tháng,chưa
43,a2fe91a450424bf29bb237f5b78c75bd,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
44,a38cb2653fb1461abca2a08b654935b2,Ragdoll,mèo Ragdoll,đực,2 tháng,chưa
45,ad4fb162e9ed44cc9f0513470ba75868,Scottish,"mèo British Shorthair (ALN), Scottish (tai cụp)",cái,2 tháng,đã tiêm 2 mũi
46,b568e7b947854a5eb057a262ffc4d08c,Scottish,mèo Scottish Fold,đực,3 tháng,đã tiêm 2 mũi
47,b60318ec10e54b8ea10264a4c99d1cad,Munchkin,mèo Munchkin,đực,2 tháng,chưa
48,b6e72d20283449c6b231f03c343a3b99,Scottish,Scottish Fold tai cụp,cái,2 tháng,đã tiêm 2 mũi
49,b838284557d44b9cae89c8c2f141dffb,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,đã tiêm 2 mũi
50,bbab29c284684e45ab0b02d0fb010124,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,đã tiêm 2 mũi
51,c385d7d7657b4cac9c2c8033b2eb7dfd,Munchkin,mèo Munchkin (chân ngắn),cái,2 tháng,chưa
52,c846291334444c31b95f798175586a0b,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,đã tiêm 2 mũi
53,cad90d8a5f004f6785ccb952baebb10f,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,chưa
54,d3db976edc3e42458e5eba30bc7a9a0b,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,đã tiêm 2 mũi
55,d6bc213afccb499f83e0120502299acc,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,đã tiêm 2 mũi
56,d76be48e7edc4bfbb7b8e970daeac6ae,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,đã tiêm 2 mũi
57,d8d0c2147f4f4707a6a8ba8ae67184db,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",02 cái,2 tháng,đã tiêm 2 mũi
58,da4ac4fab9b047979b999426538b6cf7,Munchkin,mèo Munchkin (chân ngắn) & Scottish (tai cụp),cái,2 tháng,chưa
59,dcd9da84e5c548289fc73909acf8ecce,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",02 cái 01 đực,2 tháng,đã tiêm 2 mũi
60,ddd9f6057f124572b42d6e8348824955,Scottish,mèo Scottish (tai cụp),cái,2 tháng,chưa
61,e33b282e292b4cb1ae456c95fd613ad7,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,đã tiêm 2 mũi
62,f2448f600ade4c6fa6cb82073be03b4b,Scottish,"mèo British Shorthair (ALN), Scottish (tai cụp)",cái,3 tháng,chưa
63,f3ae7dd7db384ec08c2d7b33fb76c1ff,Munchkin,"mèo Munchkin (chân ngắn), Scottish Fold (tai cụp)",cái,2 tháng,đã tiêm 2 mũi
64,f3f7a4cc09bf440fae1fab57294b18f3,Scottish,mèo Scottish Fold,đực,2 tháng,đã tiêm 2 mũi
65,f777ddfd126c4a1eaa68a1fe479eb098,Munchkin,mèo Munchkin (chân ngắn),đực,2 tháng,chưa
66,fac338e451794ea3949adb4400527704,Scottish,mèo Scottish Fold,đực,15 tháng,chưa
67,0003a955d84341db92b1e65cb9e5c94f,Anh lông ngắn,"mèo British Shorthair (Anh lông ngắn, Aln)",đực,2 tháng,chưa
68,009a8022c76e4fbfacbf8d050efc7d3a,Anh lông ngắn,"mèo Scottish tai cụp, Anh lông ngắn",02 đực 02 cái Tuổi: 2 tháng,2 tháng,chưa
69,01a3ce8f21974874b24b4df6e3ebbe65,Munchkin,"mèo Munchkin chân ngắn, Màu sắc: tuxedo",đực,2 tháng,đã tiêm 2 mũi
70,01c7326aa5984356a56be9acdeb37241,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,chưa
71,0221d649261d4f87937ab701bef02295,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,đã tiêm 2 mũi
72,0249eaeb38cd4ffc8491f54c56477e4f,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,đã tiêm 2 mũi
73,027eb8f937224ddf9e265315d103832e,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,đã tiêm 2 mũi
74,0537a1e027af4c36a85f37d8bba0b226,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,02 tháng,đã tiêm 2 mũi
75,0557673ec5de455da443201495fe9da1,Ragdoll,mèo Ragdoll,cái,3 tháng,đã tiêm 2 mũi
76,063d707e4e6449be9982727c46ba5a6b,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,02 tháng,chưa
77,069e95b13da74d73a975c58cc2dbe4ea,Anh lông dài,mèo Anh lông dài,đực,2 & 5 tháng,chưa
78,07354546870b4875aed9a02d7e71ef4f,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,đã tiêm 2 mũi
79,07d8eaa780a14db2861f1675780205d8,Munchkin,mèo Munchkin (chân ngắn),cái,3 tháng,chưa
80,081982bc344e448fac73d95359a68476,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",đực,2 tháng,đã tiêm 2 mũi
81,082ab41aa0964a8ca28512498d903744,Bengal,mèo báo Bengal,đực,trưởng thành,chưa
82,0879d7f463cd4e348e0806b2f9a0dace,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,chưa
83,0b53fbf465054930871d85a9bc245487,Scottish,Scottish Fold tai cụp,cái,2 tháng,đã tiêm 2 mũi
84,0cf69c4dcaab479495e472a7e3ab9791,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,chưa
85,0d1cac84a22846a2acf5510c02caee94,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,đã tiêm 2 mũi
86,0dbf1fb5b11146938711964c46b1bbd4,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
87,0ea48d9f526a433cad81e17f7d706895,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,trưởng thành,đã tiêm 2 mũi
88,0eb0f393566f44eda50ec487dbfd35ec,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,6 tháng,chưa
89,0fc8eab576dc4f349f2f68d57654465c,Scottish,mèo Scottish (tai cụp),cái,2 tháng,đã tiêm 2 mũi
90,1096023ab25f466687367a5e2c8d9fe7,Scottish,mèo Scottish Fold tai cụp,đực ,2 tháng,chưa
91,10a743615ed74f8bbcf7a407d90088d9,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Màu sắc: lilac, Giới tính: đực",đực,2 tháng,chưa
92,147f26653aff4d1ca9ba64fb0b568052,Anh lông ngắn,mèo Anh Lông Ngắn,đực,12 tháng,chưa
93,14e5d4d7768c4013a9a2a872c4c4d6c7,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),02 cái 01 đực,02 tháng,đã tiêm 2 mũi
94,15ba446564f94a85a8d86f66fe0e4f08,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
95,17299ae48f244e7da823ee39f9750684,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln) & Anh lông dài (British Longhair), Ald",đực,2 tháng,chưa
96,17a3d2c09b41412291e1b7f095b509df,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,5 tháng,chưa
97,187e0bbb5bc9410d8cb4420203905b83,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,3 tháng,đã tiêm 2 mũi
98,1a4eeadf9f184fbb936de9853cf877aa,Munchkin,mèo Munchkin (chân ngắn) & Scottish (tai cụp),cái,2 tháng,đã tiêm 2 mũi
99,1a59eaa2a29f4c259e220705df11b191,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",đực,2 tháng,chưa
100,1a5b69bb92e34805a15781b8799b9935,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Màu sắc: xám xanh",đực,2 tháng,đã tiêm 2 mũi
101,1b7dcef0bb9641b980301e7ea0820b35,Munchkin,mèo Munchkin chân ngắn,đực,2 tháng,đã tiêm 2 mũi
102,1b9a6c5d70654b74ac4385dd88bbd4c3,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln) & Scottish Fold tai cụp",đực,2 tháng,đã tiêm 2 mũi
103,1ce5e241bddb46f5bb088dff2e133e17,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Màu sắc: Bicolor",đực,2 tháng,đã tiêm 2 mũi
104,1fc4fd986db14b2189805679cac88122,Munchkin,mèo Munchkin,cái,2 tháng,đã tiêm 2 mũi
105,207194462c6342e394edbe9850fba7cc,Scottish,mèo Scottish Fold,đực,3 tháng,đã tiêm 2 mũi
106,23cb13a73bc043f49fb277999ecc4667,Ragdoll,mèo Ragdoll,cái,3 tháng,chưa
107,2538e9eecc5d4d9da3d530644e82fe25,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,2 tháng,đã tiêm 2 mũi
108,2632ed09fba64adc8e7d62113b15f503,Maine,mèo Maine Coon (mèo Mỹ lông dài),cái,5 tháng,chưa
109,26a1545c1194402daf2606cf4c3c34b9,Scottish,mèo Scottish (tai cụp),đực,trưởng thành,đã tiêm 2 mũi
110,28de459ba0894b0b932fcc0bcda927f0,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
111,29e8009227f8452c97d6999da2cef730,Munchkin,mèo Munchkin,đực (đàn 3 bé),2 tháng,đã tiêm 2 mũi
112,2a732a2b583346ceb12dcc17b13475d0,Ragdoll,mèo Ragdoll,đực,3 tháng,chưa
113,2bcccb9171374e2585d0569ec41592b5,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,chưa
114,2bf89b9def024061ae36bd0d0fc49266,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
115,2c5d0fc8461f4cb7851311f5cba7b447,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
116,2ce855a2654943e4b589e2ac0f654382,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish (tai cụp)",cái,2 tháng,chưa
117,2d6dcceeba534849bc777d681688002f,Scottish,mèo Scottish (tai cụp),cái,2 tháng,chưa
118,2f1df0a5741343ac87d000e2fc81e051,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),đực,2 tháng,chưa
119,2fed4389eece48319438669f7022b77e,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Munchkin (chân ngắn), tai cụp",01 cái 01 đực,3 tháng,chưa
120,30fd0fa83bfe4b2b82ba81e3d5370f9c,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",đực,2 tháng,chưa
121,3260e1e13cd54279b3db4bf80c89e83e,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",đực,2 tháng,đã tiêm 2 mũi
122,345d3739e94d4166b25ac0ba4053603d,Munchkin,mèo Munchkin (chân ngắn) & Scottish (tai cụp),đực,2 tháng,đã tiêm 2 mũi
123,36dadd439bff431895cae6d8c1df0b1e,Munchkin,mèo Munchkin,đực,2 tháng,chưa
124,3701bb4534484b758a0042e562eb2024,Munchkin,"mèo Munchkin chân ngắn tai cụp, Màu sắc: bicolor",đực ,2 tháng,chưa
125,38374a31ea9948de99dfbad5d29ea1bf,Munchkin,mèo Munchkin,đực,2 tháng,chưa
126,3892d8f40e7a4e5ca44ecf552bf46748,Anh lông ngắn,Mèo Anh lông ngắn Aln (Brittish Shorthair),đực,12 tháng,đã tiêm 2 mũi
127,38d271fa811348a0865e7fd1425e9439,Munchkin,mèo Munchkin (chân ngắn) & Scottish (tai cụp),cái,2 tháng,đã tiêm 2 mũi
128,398da0bf874a4ff7a59630ab61ce9475,Munchkin,mèo Munchkin,đực ,2 tháng,chưa
129,39af9f11feb846ed89962fea7712da7c,Scottish,Scottish Fold tai cụp,02 đực,2 tháng,đã tiêm 2 mũi
130,3a8ea6754c1e4542b4abdb679d75472f,Scottish,Scottish Fold tai cụp,đực,2 tháng,đã tiêm 2 mũi
131,3b0d6908e9414757aa72fd4daf5676db,Scottish,Scottish Fold tai cụp,đực,2 tháng,đã tiêm 2 mũi
132,4007a7ee383c43cf910dc0f0b5138075,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
133,408c1e4e0d334f7a8ce419038b2c3613,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln)",đực,2 tháng,chưa
134,41ccecca9bd04ab3bd40cfccbbe6fe58,Scottish,mèo Scottish Fold,đực,2 tháng,đã tiêm 2 mũi
135,41f115071edb46e99af646522c210c20,Anh lông dài,"mèo Anh lông dài (British Longhair, Ald)",đực,2 tháng,đã tiêm 2 mũi
136,42fe9e5e5fe44648ad844a397e4efc6a,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Màu sắc: Bicolor",02 cái 01 đực ,2 tháng,chưa
137,434cc5ecf1df474094f418001355aada,Anh lông ngắn,"mèo Anh lông ngắn (British Shorthair, Aln), Màu sắc: Bicolor",cái,2 tháng,chưa
138,43ebf87e05834365ab23b66fe608ebb1,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,trưởng thành,đã tiêm 2 mũi
139,445368ef48924e6f8b05c2a25ac2bb56,Munchkin,mèo Munchkin (chân ngắn) & Scottish (tai cụp),cái,2 tháng,đã tiêm 2 mũi
140,448196f15f324c26ab3d077a66dfbc70,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald, Scottish Fold (tai cụp)",đực,2 tháng,chưa
141,44ac583feb684195b86c9a4528608b61,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,trưởng thành,chưa
142,4584174c23fb4d6aaa4b9d8c99113b3e,Munchkin,mèo Munchkin,đực,2 tháng,chưa
143,488e4a840f30470bb84af9b4b1d28da3,Anh lông ngắn,Mèo Anh lông ngắn Aln (Brittish Shorthair),cái,12 tháng,chưa
144,4940301013c0402a81bf20b95814bb3c,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,chưa
145,4a9d2b93f88c439d876135211e799537,Scottish,mèo Scottish (tai cụp),cái,2 tháng,đã tiêm 2 mũi
146,4d0004150f644a59ab7836b6166cfaab,Munchkin,mèo Munchkin,đực,2 tháng,chưa
147,4d21b8a6180b407d86b3eb2100775372,Anh lông ngắn,mèo Anh lông ngắn (British Shorthair),cái,trưởng thành,đã tiêm 2 mũi
148,4e54a1273c4b459f98f822cd577a45b9,Anh lông dài,"mèo Anh lông dài (British Longhair), Ald",cái,2 tháng,đã tiêm 2 mũi
